UserID,TeamID,Password
AxisNova,MINES,pL9@tQ#5!xM7^
TorqueRunner,MINES,K6!vP@1#nT8$
GearShift,MINES,rW4^xL7@qM!9#
GearCore,MINES,T2@kN#8!pV5$
TorqueNova,MINES,mQ9^tR3@xL!1#
DriveNova,MINES,B7!pM@6#wT4$
TitanCore,MINES,zL5^qX8@nR!2#
LiftLogic,MTG7,F1@vK#9!tP7$
WheelPulse,MTG7,uT8!mQ@2#xL6$
MotorShift,MTG7,J4^pR7@wN!3#
AxisShift,MTG7,nV9@kL#5!qT1$
DriveLogic,MTG7,W6!xM@8#pQ4$
CyberNova,MTG7,cR3^tL9@vN!7#
BotNova,MTG7,P5@qK#1!xT8$
IronRotor,ORDGR,hL7!mR@4#wQ2$
AutoTorque,ORDGR,Z2^pV8@nT!6#
BotClamp,ORDGR,yQ9@xL#3!kM5$
DriveForge,ORDGR,G4!tP@7#rN1$
WheelForge,ORDGR,sM8^wQ2@vL!9#
LiftShift,ORDGR,X1@pR#6!kT7$
ServoClamp,ORDGR,K9!xN@3#qL5$
BotVault,ORDGR,pT4^mV7@wQ!2#
CyberPulse,ORDGR,L8@rK#1!xP6$
MotorTrail,ORDGR,R5!qT@9#nL3$
WheelRunner,ORDGR,uV2^kM8@pQ!7#
CodeNova,ORDGR,F7@xL#4!tR1$
MotionMesh,RVRSE,wQ3!pN@6#mT8$
SparkMesh,RVRSE,J9^vK5@xL!2#
TorqueRunner,RVRSE,nR4@tP#7!qM1$
BotPulse,RVRSE,B6!xQ@8#kL3$
CodePulse,RVRSE,zT1^mV9@wR!5#
SparkCore,RVRSE,P8@qL#2!xN7$
DriveCore,RVRSE,hK5!tM@4#pQ9$
ServoRunner,RVRSE,Z7^xR1@nL!6#
TorqueTrail,SKERS,yP3@vQ#8!mT2$
GridMotion,SKERS,G9!kL@5#wR4$
FrameNova,SKERS,sT2^pN7@xQ!1#
ServoNova,SKERS,X4@mR#6!vL8$
FrameTrail,SKERS,K1!qP@9#tN5$
GearForge,SKERS,rL8^xT3@wM!7#
MotorPulse,SKERS,T5@kQ#2!pV9$
DriveTrail,SKERS,mN7!vR@4#xL1$
LiftRunner,SKERS,F3^pT8@qM!6#
SensorSync,SYSTM,uQ9@xL#5!kR2$
LiftStorm,SYSTM,J6!wP@1#nT7$
GearStorm,SYSTM,nL4^mQ8@vR!3#
TorqueCore,SYSTM,W2@tK#9!xP5$
TorqueMesh,SYSTM,cV7!qL@6#mT1$
BotTrail,SYSTM,P9^xR3@nQ!8#
AxisRunner,SYSTM,hT5@kM#2!pL7$
MotorCore,SYSTM,Z1!vQ@4#wR9$
SparkClamp,SYSTM,yL8^pN6@xT!3#
AxisForge,SYSTM,G3@qR#7!mK5$
RapidWheel,TNTN,sP6!xL@9#tQ2$
DriveBolt,TNTN,X8^mV1@wN!4#
AxisCore,TNTN,K2@pT#5!qL7$
WheelTrail,TNTN,rQ9!vM@3#xR1$
CyberStorm,TNTN,T4^kL8@nP!6#
ServoPulse,TNTN,mR1@wQ#7!tV5$
RapidForge,TNTN,F8!xP@2#kL9$
AxisPulse,TNTN,uT3^qN6@vR!1#
GearForge,TNTN,J5@mL#8!xQ4$
RapidPulse,TNTN,nP7!tR@9#wK2$
CodeCrank,UMN,B4^xL1@qM!8#
BotRunner,UMN,zQ6@vT#3!pN5$
SparkTrail,UMN,P2!kR@7#mL9$
RotorStorm,UMN,Z5@pL#6!wR3$
LiftCore,UMN,yT1!mQ@9#xK7$
DriveRunner,UMN,G7^vP2@rL!4#
TitanPulse,UMN,sL3@qN#8!tM6$
RapidNova,UMN,X9!kT@5#pR1$
BotCore,UMN,K4^xL7@wQ!2#
AxisForge,UND,rM8@vP#1!qT6$
GearVault,UND,T6!pN@3#xL9$
ServoRush,UND,mQ2^kR8@wV!5#
TrackPulse,UND,F9@tL#4!xP1$
SparkRunner,UND,uR5!mQ@7#nT3$
MotorNova,UND,J1^xL9@pV!6#
SparkDrive,WCOE,nT8@qK#2!wR4$
ClampCore,WCOE,W3!vM@5#xL7$
RotorLogic,WCOE,cQ7^pT1@nR!9#
FrameCore,WCOE,P4@kL#8!mV2$
GearNova,WCOE,hX9!qR@3#tN6$
AxisClamp,WCOE,Z6^wP5@xL!1#
